pvaid,completed
A1211,0
A1141,0
A1611,0
A1317,0
A1146,0
A1489,0
A1569,0
A1563,0
A1606,0
A1301,0
A1168,0
A1194,0
A1342,0
A1052,0
A1502,0
A1457,0
A1171,0
A1176,0
A1454,0
A1527,0
A1408,0
A1132,0
A1570,0
A1548,0
A1153,0
A1155,0
A1509,0
A1402,0
A1368,0
A1295,0
A1314,0
A1581,0
A1510,0
A1290,0
A1399,0
A1493,0
A1580,0
A1431,0
A1486,0
A1307,0
A1182,0
A1210,0
A1156,0
A1385,0
A1435,0
A1188,0
A1507,0
A1603,0
A1178,0
A1440,0
A1426,0
A1478,0
A1566,0
A1441,0
A1539,0
A1217,0
A1223,0
A1450,0
A1281,0
A1250,0
A1525,0
A1549,0
A1612,0
A1251,0
A1552,0
A1412,0
A1551,0
A1184,0
A1140,0
A1370,0
A1413,0
A1427,0
A1299,0
A1149,0
A1556,0
A1430,0
A1349,0
A1550,0
A1579,0
A1387,0
A1380,0
A1573,0
A1379,0
A1553,0
A1309,0
A1432,0
A1585,0
A1125,0
A1443,0
A1166,0
A1267,0
A1482,0
A1050,0
A1403,0
A1328,0
A1329,0
A1247,0
A1401,0
A1333,0
A1242,0
A1584,0
A1388,0
A1483,0
A1219,0
A1123,0
A1480,0
A1179,0
A1501,0
A1332,0
A1474,0
A1503,0
A1327,0
A1540,0
A1559,1
A1104,1
A1355,1
A1366,1
A1528,1
A1191,1
A1310,1
A1455,1
A1504,1
A1444,1
A1010,1
A1382,1
A1041,1
A1398,1
A1374,1
A1472,1
A1448,1
A1186,1
A1608,1
A1120,1
A1094,1
A1417,1
A1449,1
A1436,1
A1410,1
A1081,1
A1587,1
A1340,1
A1145,1
A1192,1
A1364,1
A1246,1
A1352,1
A1169,1
A1500,1
A1599,1
A1105,1
A1255,1
A1421,1
A1148,1
A1610,1
A1130,1
A1492,1
A1574,1
A1418,1
A1127,1
A1224,1
A1515,1
A1274,1
A1467,1
A1341,1
A1453,1
A1589,1
A1200,1
A1195,1
A1287,1
A1404,1
A1035,1
A1518,1
A1124,1
A1452,1
A1536,1
A1572,1
A1024,1
A1109,1
A1571,1
A1537,1
A1363,1
A1201,1
A1098,1
A1256,1
A1203,1
A1362,1
A1469,1
A1561,1
A1154,1
A1506,1
A1001,1
A1485,1
A1519,1
A1087,1
A1499,1
A1322,1
A1488,1
A1442,1
A1062,1
A1521,1
A1475,1
A1209,1
A1325,1
A1466,1
A1232,1
A1037,1
A1546,1
A1596,1
A1346,1
A1216,1
A1391,1
A1339,1
A1607,1
A1230,1
A1595,1
A1133,1
A1308,1
A1101,1
A1582,1
A1517,1
A1312,1
A1383,1
A1358,1
A1531,1
A1331,1
A1384,1
A1173,1
A1197,1
A1303,1
A1438,1
A1249,1
A1004,1
A1422,1
A1350,1
A1411,1
A1465,1
A1591,1
A1522,1
A1302,1
A1544,1
A1288,1
A1473,1
A1558,1
A1126,1
A1034,1
A1605,1
A1160,1
A1243,1
A1334,1
A1235,1
A1476,1
A1532,1
A1215,1
A1266,1
A1114,1
A1027,1
A1071,1
A1490,1
A1324,1
A1360,1
A1193,1
A1583,1
A1575,1
A1369,1
A1306,1
A1357,1
A1564,1
A1577,1
A1354,1
A1393,1
A1018,1
A1205,1
A1106,1
A1185,1
A1075,1
A1420,1
A1609,1
A1261,1
A1576,1
A1447,1
A1351,1
A1555,1
A1586,1
A1208,1
A1343,1
A1568,1
A1134,1
A1298,1
A1592,1
A1446,1
A1048,1
A1005,1
A1598,1
A1533,1
A1560,1
A1326,1
A1547,1
A1236,1
A1542,1
A1359,1
A1397,1
A1407,1
A1593,1
A1459,1
A1234,1
A1389,1
A1036,1
A1377,1
A1523,1
A1204,1
A1294,1
A1367,1
A1259,1
A1067,1
A1167,1
A1498,1
A1419,1
A1078,1
A1602,1
A1270,1
A1121,1
A1356,1
A1565,1
A1258,1
A1456,1
A1253,1
A1068,1
A1414,1
A1252,1
A1390,1
A1051,1
A1241,1
A1305,1
A1174,1
A1545,1
A1416,1
A1181,1
A1180,1
A1375,1
A1468,1
A1495,1
A1103,1
A1423,1
A1162,1
A1202,1
A1405,1
A1289,1
A1117,1
A1400,1
A1238,1
A1462,1
A1311,1
A1119,1
A1429,1
A1096,1
A1183,1
A1245,1
A1361,1
A1161,1
A1588,1
A1541,1
A1150,1
A1300,1
A1147,1
A1111,1
A1135,1
A1516,1
A1524,1
A1131,1
A1265,1
A1433,1
A1128,1
A1386,1
A1207,1
A1601,1
A1225,1
A1187,1
A1139,1
A1461,1
A1061,1
A1505,1
A1451,1
A1484,1
A1353,1
A1464,1
A1102,1
A1108,1
A1006,1
A1097,1
A1604,1
A1578,1
A1085,1
A1535,1
A1142,1
A1100,1
A1543,1
A1063,1
A1095,1
A1557,1
A1415,1
A1046,1
A1254,1
A1084,1
A1112,1
A1122,1
A1479,1
A1016,1
A1494,1
A1074,1
A1277,1
A1129,1
A1613,1
A1248,1
A1365,1
A1395,1
A1463,1
A1060,1
A1554,1
A1143,1
A1513,1
A1049,1
A1470,1
A1045,1
A1597,1
A1044,1
A1594,1
A1600,1
A1335,1
A1491,1
A1065,1
A1514,1
A1520,1
A1244,1
A1030,1
A1534,1
A1481,1
A1372,1
A1099,1
A1206,1
A1220,1
A1437,1
A1009,1
A1590,1
A1190,1
A1320,1
